word	correct	predicted
But	CC	CC
the	DT	DT
way	NN	NN
,	,	,
I	PRP	PRP
do	VBP	VBP
not	RB	RB
like	VB	VB
to	TO	TO
stay	VB	VB
alone	RB	RB
.	.	.

On	IN	IN
the	DT	DT
other	JJ	JJ
hand	NN	NN
,	,	,
people	NNS	NNS
tend	VBP	VBP
to	TO	TO
wear	VB	VB
natural	JJ	JJ
clothes	NNS	JJ
today	NN	NN
,	,	,
made	VBN	VBN
of	IN	IN
cotton	NN	NN
,	,	,
wool	NN	PRP
.	.	.

You	PRP	PRP
should	MD	MD
spend	VBD	VB
more	JJR	JJR
money	NN	NN
on	IN	IN
buying	VBG	DT
clothes	NNS	NN
and	CC	CC
food	NN	NNP
,	,	,
you	PRP	PRP
will	MD	MD
very	RB	RB
happy	JJ	,
when	WRB	WRB
you	PRP	PRP
buy	VBP	VBD
it	PRP	PRP
,	,	,
but	CC	CC
,	,	,
when	WRB	WRB
you	PRP	PRP
come	VBP	VBP
back	RB	RB
home	NN	TO
take	VB	VB
out	RB	IN
you	PRP	PRP
purse	NN	VBD
,	,	,
you	PRP	PRP
must	MD	MD
be	VB	VB
feel	VB	VB
sad	JJ	VBN
,	,	,
you	PRP	PRP
purse	NN	VBP
nearly	RB	RB
empty	JJ	JJ
,	,	,
(	-LRB-	(
when	WRB	WRB
you	PRP	PRP
do	VBP	VBP
n't	RB	RB
have	VB	VB
enough	JJ	JJ
money	NN	NN
.	.	.
)	-RRB-	)

It	PRP	PRP
is	VBZ	VBZ
going	VBG	VBG
to	TO	TO
be	VB	VB
very	RB	RB
lovely	VB	JJ
and	CC	CC
enjoyable	JJ	RB
because	IN	IN
I	PRP	PRP
have	VBP	VBP
lots	NNS	VBN
of	IN	IN
surprises	NNS	NN
for	IN	IN
students	NNS	NNS
.	.	.

Mr	NNP	NNP
White	NNP	NNP
came	VBD	VBD
to	IN	TO
our	PRP$	PRP$
school	NN	NN
when	WRB	WRB
he	PRP	PRP
was	VBD	VBD
40	CD	TO
year-old	JJ	VB
but	CC	CC
still	RB	RB
well-looking	JJ	,
and	CC	CC
all	PDT	DT
my	PRP$	PRP$
girls	NNS	NNS
school-mates	NNS	WDT
fell	VBD	VBD
suddenly	RB	RB
in	IN	IN
love	NN	NN
with	IN	IN
him	PRP	PRP
;	,	:
he	PRP	PRP
was	VBD	VBD
always	RB	RB
so	RB	IN
kind	JJ	NN
and	CC	CC
generous	JJ	JJ
towards	IN	IN
his	PRP$	PRP$
pupils	NN	NNS
that	IN	IN
any	DT	DT
girls	NNS	NNS
felt	VBD	VBD
herself	PRP	PRP
loved	VBN	VBD
by	IN	IN
him	PRP	PRP
:	:	:
Pat	NNP	:
certainly	RB	RB
was	VBD	VBD
one	CD	CD
of	IN	IN
them	PRP	PRP
.	.	.

On	IN	IN
the	DT	DT
last	JJ	JJ
day	NN	NN
I	PRP	PRP
go	VBP	VBP
to	IN	TO
your	PRP$	PRP$
house	NN	NN
and	CC	CC
then	RB	RB
we	PRP	PRP
think	VBP	VBP
about	IN	IN
our	PRP$	PRP$
's	POS	NNS
conference	NN	.
plane	NN	.
.	.	.

I	PRP	PRP
use	VBP	VBP
internet	NN	RB
now	RB	RB
.	.	.

I	PRP	PRP
'm	VBP	VBP
sorry	JJ	VBN
I	PRP	PRP
did	VBD	VBD
n't	RB	RB
write	VB	VB
you	PRP	PRP
before	RB	IN
,	,	,
but	CC	CC
I	PRP	PRP
was	VBD	VBD
so	RB	RB
busy	JJ	VBN
with	IN	IN
my	PRP$	PRP$
exams	NNS	NNS
.	.	.

The	DT	DT
tower	NN	NN
is	VBZ	VBZ
absolutly	RB	VBN
marvelous	JJ	.
.	.	.

I	PRP	PRP
would	MD	MD
like	VB	VB
to	TO	TO
ask	VB	VB
,	,	,
if	IN	IN
you	PRP	PRP
could	MD	MD
expend	VB	VB
the	DT	DT
plays	NNS	NNS
and	CC	CC
films	NNS	RB
more	RBR	RBR
for	IN	IN
next	JJ	JJ
year	NN	NN
?	.	.

I	PRP	PRP
can	MD	MD
play	VB	VB
tennis	NN	VBN
quite	RB	RB
well	RB	RB
,	,	,
but	CC	CC
I	PRP	PRP
have	VBP	VBP
never	RB	RB
played	VBD	VBN
golf	NN	RB
,	,	,
so	RB	RB
,	,	,
if	IN	IN
it	PRP	PRP
is	VBZ	VBZ
possible	JJ	JJ
,	,	,
I	PRP	PRP
would	MD	MD
like	VB	VB
taking	VBG	VBG
lessons	NNS	NNS
with	IN	IN
a	DT	DT
teacher	NN	NN
.	.	.

There	RB	EX
,	,	,
it	PRP	PRP
is	VBZ	VBZ
impossible	JJ	JJ
for	IN	IN
journalists	NNS	VBG
to	TO	TO
stop	VB	VB
chasing	VBG	WRB
them	PRP	PRP
.	.	.

And	CC	CC
I	PRP	PRP
ca	MD	MD
n't	RB	RB
even	RB	RB
think	VB	VB
about	IN	IN
how	WRB	WRB
it	PRP	PRP
would	MD	MD
be	VB	VB
not	RB	RB
having	VBG	VBG
a	DT	DT
computer	NN	NN
.	.	.

Pat	NNP	PRP
was	VBD	VBD
very	RB	RB
frightened	JJ	VBN
with	IN	IN
this	DT	DT
situation	NN	NN
.	.	.

Photography	NN	PRP
is	VBZ	VBZ
a	DT	DT
very	RB	JJ
interesting	JJ	JJ
activitie	NN	NNS
,	,	,
and	CC	CC
is	VBZ	VBZ
not	RB	RB
too	RB	RB
hard	JJ	JJ
to	TO	TO
do	VB	VB
too	RB	RB
.	.	.

I	PRP	PRP
play	VBP	VBP
tennis	NN	VBN
since	IN	IN
I	PRP	PRP
was	VBD	VBD
a	DT	DT
child	NN	NN
and	CC	CC
I	PRP	PRP
have	VBP	VBP
won	VBN	VBD
some	DT	DT
competitions	NNS	NN
in	IN	IN
my	PRP$	PRP$
town	NN	NN
so	RB	IN
I	PRP	PRP
think	VB	VBP
I	PRP	PRP
play	VBP	VBP
very	RB	RB
well	RB	RB
.	.	.

Tecnology	NN	PRP
improves	VBZ	VBD
our	PRP$	PRP$
lives	NNS	NNS
,	,	,

I	PRP	PRP
think	VBP	VBP
this	DT	DT
way	NN	NN
is	VBZ	VBZ
better	JJR	RB
to	TO	TO
keep	VB	VB
in	IN	IN
touch	NN	NN
with	IN	IN
the	DT	DT
nature	NN	NN
.	.	.

There	EX	EX
are	VBP	VBP
some	DT	DT
of	IN	IN
the	DT	DT
modern	JJ	JJ
techonologys	NNS	NNS
that	IN	IN
most	RBS	JJS
help	VBP	VB
me	PRP	PRP
but	CC	CC
there	EX	EX
are	VBP	VBP
some	DT	DT
others	NNS	NNS
which	WDT	WDT
are	VBP	VBP
also	RB	RB
very	RB	RB
important	JJ	JJ
for	IN	IN
me	PRP	PRP
.	.	.

Since	IN	IN
I	PRP	PRP
have	VBP	VBP
studied	VBN	RB
photography	NN	VBN
for	IN	IN
several	JJ	JJ
years	NNS	NNS
,	,	,
I	PRP	PRP
would	MD	MD
like	VB	VB
to	TO	TO
take	VB	VB
some	DT	DT
picture	NN	NN
of	IN	IN
beautiful	JJ	JJ
scenaries	NNS	NNS
in	IN	IN
California	NNP	NNP
.	.	.

We	PRP	PRP
can	MD	MD
love	VB	VB
them	PRP	PRP
without	IN	IN
disturbing	VBG	JJ
too	RB	RB
.	.	.

As	IN	IN
we	PRP	PRP
are	VBP	VBP
from	IN	IN
the	DT	DT
small	JJ	JJ
town	NN	NN
we	PRP	PRP
do	VBP	VBP
n't	RB	RB
have	VB	VB
any	DT	DT
possibility	NN	NN
to	TO	TO
learn	VB	VB
about	IN	IN
this	DT	DT
.	.	.

She	PRP	PRP
was	VBD	VBD
the	DT	DT
head	NN	NN
in	IN	IN
this	DT	DT
story	NN	NN
.	.	.

I	PRP	PRP
did	VBD	VBD
a	DT	DT
big	JJ	JJ
mistake	NN	NN
by	IN	IN
trusting	VBG	WDT
him	PRP	PRP
.	.	.

From	IN	IN
that	DT	DT
time	NN	NN
,	,	,
I	PRP	PRP
decided	VBD	VBD
to	TO	TO
buy	VB	VB
my	PRP$	PRP$
own	JJ	JJ
computer	NN	NNS
and	CC	CC
every	DT	DT
day	NN	NN
I	PRP	PRP
was	VBD	VBD
improving	VBG	TO
my	PRP$	PRP$
knowledge	NN	NN
.	.	.

The	DT	DT
Marine	NNP	NNP
's	POS	POS
real	JJ	JJ
father	NN	NN
want	VBP	IN
her	PRP	PRP$
back	RB	NN
but	CC	CC
the	DT	DT
other	JJ	JJ
cuples	NNS	NNS
did	VBD	VBD
n't	RB	RB
want	VB	VBP
to	TO	TO
give	VB	VB
her	PRP	PRP
because	IN	IN
they	PRP	PRP
loved	VBD	VBD
Marine	NNP	RB
so	RB	RB
much	RB	RB
.	.	.

I	PRP	PRP
look	VBP	VBP
forward	RB	RB
to	IN	TO
receiving	VBG	VB
your	PRP$	PRP$
satisfactory	JJ	JJ
reply	NN	NNS
by	IN	IN
return	NN	NN
of	IN	IN
post	NN	NN
.	.	.

Other	JJ	JJ
members	NNS	NNS
of	IN	IN
groups	NNS	NNS
can	MD	MD
wear	VB	VB
a	DT	DT
normal	JJ	NN
pretty	JJ	.
formal	JJ	.
dress	NN	.
.	.	.

Whereas	RB	IN
an	DT	DT
advertisement	NN	NN
promised	VBD	VBD
stars	NNS	VBN
from	IN	IN
around	IN	IN
the	DT	DT
world	NN	NN
.	.	.

I	PRP	PRP
will	MD	MD
be	VB	VB
very	RB	RB
glad	JJ	JJ
to	TO	TO
partecipate	VB	VB
to	IN	TO
your	PRP$	PRP$
camp	NN	NNS
!	.	.

They	PRP	PRP
all	DT	DT
knows	VBP	VBZ
where	WRB	WRB
the	DT	DT
conference	NN	NN
is	VBZ	VBZ
and	CC	CC
when	WRB	NN
.	.	.

What	WP	WP
are	VBP	VBP
you	PRP	PRP
going	VBG	VBD
to	TO	TO
do	VB	VB
without	IN	IN
phone	NN	NN
?	.	.

There	EX	EX
are	VBP	VBP
a	DT	DT
lot	NN	NN
of	IN	IN
advantages	NNS	NN
for	IN	IN
it	PRP	PRP
.	.	.

I	PRP	PRP
wish	VBP	VB
you	PRP	PRP
were	VBD	VBD
there	RB	RB
.	.	.

I	PRP	PRP
am	VBP	VBP
glad	JJ	VBN
I	PRP	PRP
had	VBD	VBD
taken	VBN	VBN
a	DT	DT
part	NN	NN
in	IN	IN
a	DT	DT
few	JJ	JJ
competitions	NNS	NNS
,	,	,
and	CC	CC
I	PRP	PRP
was	VBD	VBD
so	RB	RB
proud	JJ	JJ
of	IN	IN
our	PRP$	PRP$
basketball	NN	JJ
team	NN	NN
.	.	.

and	CC	CC
then	RB	RB
went	VBD	VBD
away	RB	RB
without	IN	IN
listening	VBG	VBG
the	DT	DT
answer	NN	NN
.	.	.

Lily	NNP	PRP
was	VBD	VBD
one	CD	CD
of	IN	IN
her	PRP$	PRP$
best	JJS	JJS
friend	NN	NN
before	IN	IN
three	CD	CD
year	NN	NN
.	.	.

Some	GW	DT
times	NNS	NNS
we	PRP	PRP
have	VBP	VBP
to	TO	TO
have	MD	VB
deal	VB	NN
with	IN	IN
not	RB	RB
good	JJ	JJ
service	NN	NN
or	CC	CC
for	IN	IN
example	NN	NN
could	MD	MD
you	PRP	PRP
imagine	VB	VBP
it	PRP	PRP
on	IN	IN
your	PRP$	PRP$
way	NN	NN
to	TO	TO
shop	VB	VB
you	PRP	PRP
have	VBP	VBP
met	VBN	RB
wrong	JJ	JJ
people	NNS	NNS
or	CC	CC
someone	NN	NN
told	VBD	VBD
you	PRP	PRP
bad	JJ	.
news	NNS	.
.	.	.

I	PRP	PRP
would	MD	MD
like	VB	VB
to	TO	TO
have	VB	VB
my	PRP$	PRP$
two	CD	CD
weeks	NNS	NNS
with	IN	IN
you	PRP	PRP
in	IN	IN
July	NNP	NNP
,	,	,
as	IN	IN
it	PRP	PRP
will	MD	MD
be	VB	VB
during	IN	IN
my	PRP$	PRP$
summer	NN	NN
holiday	NN	,
in	IN	IN
addition	NN	NN
that	IN	IN
it	PRP	PRP
is	VBZ	VBZ
said	VBN	VBD
to	TO	TO
be	VB	VB
the	DT	DT
best	JJS	JJS
season	NN	NN
there	RB	.
.	.	.

The	DT	DT
worst	JJS	JJS
thing	NN	NN
is	VBZ	VBZ
that	IN	IN
I	PRP	PRP
could	MD	MD
n't	RB	RB
watch	VB	VB
my	PRP$	PRP$
favorite	JJ	JJ
actor	NN	.
.	.	.

Last	JJ	NNP
week	NN	NNP
,	,	,
I	PRP	PRP
went	VBD	VBD
to	IN	TO
London	NNP	NNP
in	IN	IN
your	PRP$	PRP$
theatre	NN	NN
to	TO	TO
see	VB	VB
"	``	TO
Over	IN	VB
the	DT	DT
rainbow	NN	NN
"	''	,
and	CC	CC
I	PRP	PRP
had	VBD	VBD
a	DT	DT
disappointing	JJ	JJ
evening	NN	NN
.	.	.

I	PRP	PRP
have	VBP	VBP
always	RB	RB
wanted	VBN	VBN
to	TO	TO
spend	VB	VB
my	PRP$	PRP$
holidays	NNS	NNS
in	IN	IN
tent	NN	NN
but	CC	CC
my	PRP$	PRP$
father	NN	NN
has	VBZ	VBZ
never	RB	RB
given	VBN	VBN
me	PRP	PRP
the	DT	DT
permission	NN	NN
,	,	,
and	CC	CC
this	DT	DT
would	MD	MD
be	VB	VB
an	DT	DT
ideal	JJ	JJ
opportunity	NN	NN
for	IN	IN
me	PRP	PRP
to	TO	TO
learn	VB	VB
about	IN	IN
camp	NN	DT
life	NN	NN
.	.	.

I	PRP	PRP
've	VBP	VBP
received	VBN	VBN
your	PRP$	PRP$
letter	NN	NN
two	CD	CD
days	NNS	NNS
ago	RB	RB
and	CC	CC
I	PRP	PRP
'm	VBP	VBP
quite	RB	RB
happy	JJ	JJ
to	TO	TO
know	VB	VB
that	IN	IN
you	PRP	PRP
passed	VBD	VBD
F.C.E.	NNP	VBN

And	CC	CC
as	IN	IN
regards	VBZ	PRP
breaks	NNS	VBZ
student	NN	TO
consider	VB	VB
them	PRP	PRP
being	VBG	VBG
a	DT	DT
very	RB	JJ
important	JJ	JJ
part	NN	NN
of	IN	IN
school	NN	NN
life	NN	NN
,	,	,
despite	IN	IN
all	DT	DT
their	PRP$	PRP$
mess	NN	NN
and	CC	CC
noise	NN	NN
.	.	.

Both	DT	DT
of	IN	IN
them	PRP	PRP
I	PRP	PRP
am	VBP	VBP
not	RB	RB
as	RB	IN
good	JJ	JJ
as	IN	IN
you	PRP	PRP
expect	VB	VB
,	,	,
but	CC	CC
recently	RB	RB
I	PRP	PRP
have	VBP	VBP
been	VBN	VBN
intrested	JJ	VBN
in	IN	IN
those	DT	DT
.	.	.

That	DT	DT
is	VBZ	VBZ
really	RB	RB
intresting	JJ	.
.	.	.

it	PRP	PRP
is	VBZ	VBZ
very	RB	RB
interesting	JJ	JJ
,	,	,
especially	RB	RB
for	IN	IN
the	DT	DT
young	JJ	JJ
people	NNS	NNS
.	.	.

Than	RB	PRP
to	IN	TO
technology	NN	VB
we	PRP	PRP
can	MD	MD
reach	VB	VB
any	DT	DT
place	NN	NN
in	IN	IN
the	DT	DT
world	NN	NN
easily	RB	.
.	.	.

She	PRP	PRP
was	VBD	VBD
sended	VBD	VBN
to	IN	TO
New	NNP	NNP
York	NNP	NNP
to	TO	TO
discover	VB	VB
how	WRB	WRB
some	DT	DT
people	NNS	NNS
from	IN	IN
government	NN	NN
gave	VBD	VBD
money	NN	VBN
to	IN	TO
the	DT	DT
merchants	NNS	NNS
because	IN	IN
they	PRP	PRP
want	VBP	VBP
to	TO	TO
build	VB	VB
a	DT	DT
Trade	NNP	NN
Center	NNP	.
there	RB	.
.	.	.

Concerning	VBG	IN
the	DT	DT
party	NN	NN
we	PRP	PRP
do	VBP	VBP
not	RB	RB
have	VB	VB
a	DT	DT
casual	JJ	JJ
dressing	NN	VBG
code	NN	NN
.	.	.

At	IN	IN
8	CD	PRP
pm	NN	MD
Metallica	NNP	VB
started	VBD	VBN
and	CC	CC
I	PRP	PRP
have	VBP	VBP
to	TO	TO
tell	VB	VB
you	PRP	PRP
,	,	,
they	PRP	PRP
did	VBD	VBD
a	DT	DT
great	JJ	JJ
performance	NN	NN
.	.	.

It	PRP	PRP
highlights	VBZ	VBD
the	DT	DT
background	NN	NN
history	NN	NN
and	CC	CC
considers	VBZ	VBZ
the	DT	DT
interest	NN	NN
of	IN	IN
young	JJ	JJ
peoples	NNS	NNS
,	,	,
and	CC	CC
makes	VBZ	VBZ
a	DT	DT
final	JJ	JJ
recommendation	NN	.
.	.	.

And	CC	CC
,	,	,
I	PRP	PRP
would	MD	MD
appreciate	VB	VB
if	IN	IN
you	PRP	PRP
give	VBP	VBP
me	PRP	PRP
a	DT	DT
refund	NN	NN
.	.	.

From	IN	DT
small	JJ	JJ
village	NN	NN
to	IN	TO
town	NN	NN
was	VBD	VBD
very	RB	RB
long	JJ	JJ
way	NN	NN
becouse	IN	IN
the	DT	DT
people	NN	NNS
used	VBD	VBN
horse	NN	NN
and	CC	CC
wagon	NN	NN
.	.	.

I	PRP	PRP
prefer	VBP	VBP
to	TO	TO
live	VB	VB
in	IN	IN
log	NN	DT
cabin	NN	NN
because	IN	IN
I	PRP	PRP
think	VBP	VBP
it	PRP	PRP
's	VBZ	VBZ
more	RBR	RBR
comfortable	JJ	JJ
.	.	.

For	IN	IN
instance	NN	NN
,	,	,
when	WRB	WRB
I	PRP	PRP
want	VBP	VBP
to	TO	TO
contanct	VB	VB
with	IN	IN
to	IN	TO
my	PRP$	PRP$
friend	NN	NN
,	,	,
it	PRP	PRP
's	VBZ	VBZ
quite	RB	RB
helpful	JJ	JJ
by	IN	IN
using	VBG	VBG
e-mail	NN	.
.	.	.

To	TO	TO
sum	VB	VB
up	RP	RB
,	,	,
although	IN	IN
there	EX	EX
is	VBZ	VBZ
certainly	RB	RB
a	DT	DT
good	JJ	JJ
side	NN	NN
of	IN	IN
shopping	NN	NNP
,	,	,
such	JJ	JJ
as	IN	IN
pleasures	NNS	NN
of	IN	IN
getting	VBG	VBG
new	JJ	JJ
stuff	NN	NN
and	CC	CC
spending	VBG	JJ
money	NN	NN
on	IN	IN
something	NN	NN
you	PRP	PRP
really	RB	RB
wanted	VBD	VBN
for	IN	IN
long	JJ	JJ
time	NN	NN
,	,	,
you	PRP	PRP
also	RB	RB
have	VBP	VB
some	DT	DT
unpleasant	JJ	JJ
moments	NNS	NNS
to	TO	TO
