word	correct	predicted
American	NNP	JJ
democratic	JJ	JJ
thought	NN	NN
,	,	,
pointed	VBD	VBN
up	IN	IN
the	DT	DT
relation	NN	NN
between	IN	IN
the	DT	DT
Protestant	NNP	JJ
movement	NN	NN
in	IN	IN
this	DT	DT
country	NN	NN
and	CC	CC
the	DT	DT
development	NN	NN
of	IN	IN
a	DT	DT
social	JJ	JJ
religion	NN	NN
,	,	,
which	WDT	WDT
he	PRP	PRP
called	VBD	VBD
the	DT	DT
American	NNP	JJ
Democratic	NNP	NNP
Faith	NNP	NN
.	.	.

Those	DT	DT
familiar	JJ	JJ
with	IN	IN
his	PRP$	PRP$
work	NN	NN
will	MD	MD
remember	VB	VB
that	IN	IN
he	PRP	PRP
placed	VBD	VBD
the	DT	DT
incipience	NN	NN
of	IN	IN
the	DT	DT
democratic	JJ	JJ
faith	NN	NN
at	IN	IN
around	IN	IN
1850	CD	NN
.	.	.

And	CC	CC
he	PRP	PRP
describes	VBZ	VBZ
it	PRP	PRP
as	IN	IN
a	DT	DT
balanced	JJ	JJ
polarity	NN	NNS
between	IN	IN
the	DT	DT
notions	NNS	NNS
of	IN	IN
the	DT	DT
free	JJ	JJ
individual	NN	NN
and	CC	CC
what	WP	WP
he	PRP	PRP
called	VBD	VBD
the	DT	DT
fundamental	JJ	JJ
law	NN	NNP
.	.	.

I	PRP	PRP
want	VBP	VBP
to	TO	TO
say	VB	VB
more	RBR	RBR
about	IN	IN
Gabriel	NNP	NNP
's	POS	POS
so-called	JJ	``
fundamental	JJ	JJ
law	NN	NN
.	.	.

But	CC	CC
first	RB	RB
I	PRP	PRP
want	VBP	VBP
to	TO	TO
quote	VB	VB
him	PRP	PRP
on	IN	IN
the	DT	DT
relationship	NN	NN
that	IN	IN
he	PRP	PRP
found	VBD	VBD
between	IN	IN
religion	NN	NN
and	CC	CC
politics	NNS	NNS
in	IN	IN
this	DT	DT
country	NN	NN
and	CC	CC
what	WP	WP
happened	VBD	VBD
to	TO	TO
it	PRP	PRP
.	.	.

He	PRP	PRP
points	VBZ	VBZ
out	IN	RB
that	DT	IN
from	IN	IN
the	DT	DT
time	NN	NN
of	IN	IN
Jackson	NNP	NNP
on	IN	IN
through	IN	IN
World	NNP	NNP
War	NNP	NNP
1	CD	NNP
,	,	,
,	,	,
evangelical	JJ	WRB
Protestantism	NNP	PRP
was	VBD	VBD
a	DT	DT
dominant	JJ	JJ
influence	NN	NN
in	IN	IN
the	DT	DT
social	JJ	JJ
and	CC	CC
political	JJ	JJ
life	NN	NN
of	IN	IN
America	NNP	NNP
.	.	.

He	PRP	PRP
terms	VBZ	VBZ
this	DT	DT
early	JJ	JJ
enthusiasm	NN	NN
``	``	``
Romantic	NNP	FW
Christianity	NNP	FW
''	''	''
and	CC	CC
concludes	VBZ	RB
that	IN	IN
its	PRP$	PRP$
similarity	NN	NN
to	TO	TO
democratic	JJ	VB
beliefs	NNS	VBN
of	IN	IN
that	DT	DT
day	NN	NN
is	VBZ	VBZ
so	RB	RB
great	JJ	JJ
that	IN	IN
``	``	``
the	DT	DT
doctrine	NN	NN
of	IN	IN
liberty	NN	NN
seems	VBZ	VBZ
but	IN	CC
a	DT	DT
secular	JJ	JJ
version	NN	NN
of	IN	IN
its	PRP$	PRP$
counterpart	NN	NNS
in	IN	IN
evangelical	JJ	DT
Protestantism	NNP	NN
''	''	''
.	.	.

Let	VB	WRB
me	PRP	PRP
quote	VB	VB
him	PRP	PRP
even	RB	RB
more	RBR	RBR
fully	RB	RB
,	,	,
for	IN	IN
his	PRP$	PRP$
analysis	NN	NN
is	VBZ	VBZ
important	JJ	JJ
to	TO	TO
my	PRP$	PRP$
theme	NN	NN
.	.	.

He	PRP	PRP
says	VBZ	VBZ
:	:	:
``	``	``
beside	IN	IN
the	DT	DT
Protestant	NNP	JJ
philosophy	NN	NN
of	IN	IN
Progress	NN	NNP
,	,	,
as	IN	IN
expressed	VBN	VBN
in	IN	IN
radical	JJ	JJ
or	CC	CC
conservative	JJ	JJ
millenarianism	NN	NNS
,	,	,
should	MD	MD
be	VB	VB
placed	VBN	VBN
the	DT	DT
doctrine	NN	NN
of	IN	IN
the	DT	DT
democratic	JJ	JJ
faith	NN	NN
which	WDT	WDT
affirmed	VBD	VBZ
it	PRP	PRP
to	TO	TO
be	VB	VB
the	DT	DT
duty	NN	NN
of	IN	IN
the	DT	DT
destiny	NN	NN
of	IN	IN
the	DT	DT
United	NNP	NNP
States	NNPS	NNP
to	TO	TO
assist	VB	VB
in	IN	IN
the	DT	DT
creation	NN	NN
of	IN	IN
a	DT	DT
better	JJR	JJR
world	NN	NN
by	IN	IN
keeping	VBG	PRP
lighted	VBN	VBD
the	DT	DT
beacon	NN	NN
of	IN	IN
democracy	NN	NN
''	''	''
.	.	.

He	PRP	PRP
specifies	VBZ	VBD
,	,	,
``	``	``
in	IN	IN
the	DT	DT
middle	JJ	NN
period	NN	NN
of	IN	IN
the	DT	DT
Nineteenth	NNP	JJ
Century	NNP	,
it	PRP	PRP
was	VBD	VBD
