word	correct	predicted
American	NNP	NNP
democratic	JJ	NNP
thought	NN	VBD
,	,	,
pointed	VBD	VBD
up	IN	RP
the	DT	DT
relation	NN	NN
between	IN	IN
the	DT	DT
Protestant	NNP	JJ
movement	NN	NN
in	IN	IN
this	DT	DT
country	NN	NN
and	CC	CC
the	DT	DT
development	NN	NN
of	IN	IN
a	DT	DT
social	JJ	JJ
religion	NN	NN
,	,	,
which	WDT	WDT
he	PRP	PRP
called	VBD	VBD
the	DT	DT
American	NNP	JJ
Democratic	NNP	NN
Faith	NNP	NN
.	.	.

Those	DT	DT
familiar	JJ	JJ
with	IN	IN
his	PRP$	PRP$
work	NN	NN
will	MD	MD
remember	VB	VB
that	IN	IN
he	PRP	PRP
placed	VBD	VBD
the	DT	DT
incipience	NN	NN
of	IN	IN
the	DT	DT
democratic	JJ	JJ
faith	NN	NN
at	IN	IN
around	IN	RB
1850	CD	JJ
.	.	.

And	CC	CC
he	PRP	PRP
describes	VBZ	VBZ
it	PRP	PRP
as	IN	IN
a	DT	DT
balanced	JJ	JJ
polarity	NN	NN
between	IN	IN
the	DT	DT
notions	NNS	NN
of	IN	IN
the	DT	DT
free	JJ	JJ
individual	NN	NNS
and	CC	CC
what	WP	WP
he	PRP	PRP
called	VBD	VBD
the	DT	DT
fundamental	JJ	JJ
law	NN	NN
.	.	.

I	PRP	PRP
want	VBP	VBP
to	TO	TO
say	VB	VB
more	RBR	RBR
about	IN	IN
Gabriel	NNP	NNP
's	POS	POS
so-called	JJ	NNP
fundamental	JJ	POS
law	NN	NN
.	.	.

But	CC	CC
first	RB	RB
I	PRP	PRP
want	VBP	VBP
to	TO	TO
quote	VB	VB
him	PRP	PRP
on	IN	IN
the	DT	DT
relationship	NN	NN
that	IN	IN
he	PRP	PRP
found	VBD	VBD
between	IN	IN
religion	NN	NN
and	CC	CC
politics	NNS	NNS
in	IN	IN
this	DT	DT
country	NN	NN
and	CC	CC
what	WP	WP
happened	VBD	VBD
to	TO	TO
it	PRP	PRP
.	.	.

He	PRP	PRP
points	VBZ	VBZ
out	IN	RB
that	DT	IN
from	IN	IN
the	DT	DT
time	NN	NN
of	IN	IN
Jackson	NNP	NNP
on	IN	IN
through	IN	IN
World	NNP	NNP
War	NNP	NNP
1	CD	NNP
,	,	,
,	,	,
evangelical	JJ	CC
Protestantism	NNP	PRP
was	VBD	VBD
a	DT	DT
dominant	JJ	JJ
influence	NN	NN
in	IN	IN
the	DT	DT
social	JJ	NN
and	CC	CC
political	JJ	JJ
life	NN	NN
of	IN	IN
America	NNP	NNP
.	.	.

He	PRP	PRP
terms	VBZ	VBD
this	DT	DT
early	JJ	JJ
enthusiasm	NN	.
``	``	``
Romantic	NNP	UH
Christianity	NNP	UH
''	''	''
and	CC	CC
concludes	VBZ	VBD
that	IN	IN
its	PRP$	PRP$
similarity	NN	NN
to	TO	TO
democratic	JJ	VB
beliefs	NNS	VBN
of	IN	IN
that	DT	DT
day	NN	NN
is	VBZ	VBZ
so	RB	RB
great	JJ	JJ
that	IN	IN
``	``	``
the	DT	DT
doctrine	NN	NN
